Publication Type,Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Britt, BC; Britt, RK","Britt, Brian C.; Britt, Rebecca K.",,,The Roles of Medium and Narrative Believability in Guided Mobile Tour Navigation,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Purpose: This study investigates the role of need for cognition and narrative believability when using a mobile device to take a guided tour of a new location, informing future research and practice in both narrative design and media ecology. Method: Experiment participants (n = 141) toured a new research facility using one of three combinations of navigation aids (a smartphone only, a brochure and a smartphone, or a brochure only) as a guide. An ordinal regression analysis and multivariate regression analysis were used to assess the relationships among navigation aids, narrative believability, need for cognition, and perceived ease of navigation. Results: Use of a smartphone only or a brochure in tandem with a smartphone were positively related to evaluations of the narrative as highly consistent as well as perceptions that the narrative offered a high degree of coverage. However, using a brochure in tandem with a smartphone was negatively related to perceived ease of navigation, while narrative plausibility had a positive effect on perceived ease of navigation. Conclusion: This study illustrates how different mobile devices result in a range of interpretations of the same materials and, ultimately, different levels of success in real -world navigation. Even a simple narrative can aid wayfinding if users find it sufficiently plausible. More broadly, the results suggest the need for research to facilitate the development of more engaging multimedia tour guides.",,,,,,,,,,,82,1,1,,,,,,,,,,,AUG,2021,68,3,,,,,76,96,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Davis, C","Davis, Carleigh",,,Memetic Variation in The Whole30: Understanding Content Consistency in a Transmediated Nutritional Program,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Purpose: The goal of this article is to understand how and why content relating to a popular nutrition program, the Whole30, is taken up or discarded when shifting between producer- and participant-controlled media. Method: This article utilizes memetic rhetorical analysis to identify interface- and content-specific memes and to explore the connections between those memes that create environments to which some adapt successfully while other are lost. Results: My analysis shows that the interface memes that characterize the Whole30 Facebook Community page create a communicative situation in which personal experience is more likely to be persuasive than scientific research or institutionally conferred credentials. Conclusion: Technical communicators need to craft technical and scientific content to allow for transmediated community interaction that draws on the affordances of social media sites to maintain the integrity of information.",,,,,,,,,,,24,0,0,,,,,,,,,,,AUG,2019,66,3,,,,,272,283,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Colton, JS; Edenfield, AC; Holmes, S","Colton, Jared S.; Edenfield, Avery C.; Holmes, Steve",,,Workplace Democracy and the Problem of Equality,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Purpose: Professional communicators are becoming more invested in unique configurations of power in organizations, including non-hierarchical and democratic workplaces. While organizations dedicated to democratic processes may enact power differently than conventional organizations, they may fall short of practicing equality. This article explains the differences in non-hierarchical workplaces, considers businesses where democracy is a goal, and argues for considering equality as a habitual practice, particularly when writing regulatory documents. Method: We conduct a review of the literature on non-hierarchical workplaces and organizational democracy, applying Jacques Ranciere's concept of equality to two examples (one using primary data collection and one using secondary data) of two cooperatives where organizational democracy is integral to the design of the business. Results: The literature review exposes an interest in metis (cunning, craftiness, flexibility) as vital to practitioner success in non-hierarchical workplaces; however, this article demonstrates that metis does not prevent inequality, even in organizations expressly committed to workplace democracy. Conclusion: Professional communicators need to consider equality not solely as a structural resource (as in rules, laws, policies) but as a habitual practice to cultivate alongside other characteristics and frameworks important to a professional communicator's toolkit.",,,,,,,,,,,73,4,4,,,,,,,,,,,FEB,2019,66,1,,,,,53,67,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Chong, F","Chong, Felicia",,,YouTube Beauty Tutorials as Technical Communication,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Purpose: With the increasing popularity of YouTube beauty videos, this study extends previous research on YouTube instructional videos by investigating the common characteristics of the 10 most-reviewed makeup and hair tutorials to determine their similarity to or differences from good instructional videos. Method: Using a deductive coding method, I analyzed the 10 most-viewed beauty tutorials based on Swarts' (2012) best practices for creating instructional videos and Mackiewicz's (2010) assertion categories of expertise. Results: A majority of the videos followed best practices, such as including an introduction, beginning with a promise or a clear objective, incorporating verbal instruction, being strategically redundant, and using a combination of text annotations, audio, and/or still images to complement the video. However, a lack of confidence and quality in most of the videos suggest that the creators did not rehearse their scripts, nor did they use the recording and editing tools effectively. None of the creators seems to provide any reassurance to the viewers or promote a sense of their self-efficacy. In terms of asserting their credibility, the majority of the creators did not make any explicit assertions about their relevant role, product-specific experience, or familiarity with related and relevant products. Conclusion: Although best practices, such as having a clear objective and using verbal instructions, should be followed, instructional video designers should also consider additional factors, such as truthfulness and accuracy, accessibility, kairos, addressivity, personal narratives, and humor.",,,,,,,,,,,46,10,10,,,,,,,,,,,AUG,2018,65,3,,,,,293,308,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Boettger, RK","Boettger, Ryan K.",,,The Technical Communication Editing Test: Three Studies on This Assessment Type,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Purpose: In this paper, I present the results of three studies on editing tests used to screen prospective technical communicators and the error types common to these tests. Because few publically available, authentic examples exist, I first explore the general characteristics of 55 tests and 71 error types. Error types are correlated against 176 professionals' perceptions of these error types. Method: The sample's characteristics were first identified from the tests and the hiring managers. Three raters then independently classified the errors types using coding schemas from previous taxonomies of college-level writing. Finally, a 24-question survey was administered to capture professional communicators' perceptions of error. Results: Editing tests were typically designed in narrative format and evaluated holistically, but variation in administration and format existed. The sample included 3,568 errors and 71 error types. Errors related to wrong words, spelling, and capitalization dominated, but 13 other errors were frequently found as well as dispersed within at least 50% of the sample. Conversely, professionals were bothered most by apostrophe errors, homonyms, and sentence fragments. No significant correlations were found among the frequencies and dispersions of the editing tests' errors and the professionals' perceptions of those errors. Conclusions: Editing tests share common characteristics, but organizational context substantially influences its format and contents. There were consistencies between the editing test error types and types identified in college-writing taxonomies; however, context again influences why errors are introduced as well as the types of errors that were identified. Finally, hiring managers and professionals share different perceptions of error. Understanding these differences can produce better assessment tools and better prepare test takers.",,,,,,,,,,,30,4,4,,,,,,,,,,,NOV,2014,61,4,,,,,215,231,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Coppola, NW","Coppola, Nancy W.",,,Professionalization of Technical Communication: Zeitgeist for Our Age Introduction to This Special Issue (Part 2),TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Purpose: To trace the contemporary currents of professionalization for technical communication and their impact on us. Methods: Analysis of literature, including social media, and conversations with our thought leaders. Results: A third aspect of establishing professional identity is described: emerging technological, sociocultural, and political currents. The ideological and economic processes were addressed in Technical Communication 58, 2011. Conclusions: Technical communicators are emerging as active players in today's dynamic enterprise with integrated skill sets to navigate rapidly changing work structures. Roadblocks are still present.",,,,,,,,,,,28,11,11,,,,,,,,,,,FEB,2012,59,1,,,,,1,7,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Hallier, PA; Malone, EA","Hallier, Patricia A.; Malone, Edward A.",,,Light's Technical Writing and Professional Status: Fifty Years Later,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Purpose: To present a significant historical document in the decades-long movement to professionalize technical communication Methods: Historical analysis and textual editing Results: Light's 1961 article applied then-current definitions of a profession to technical writing and suggested that technical writers could become professionals only through formal education and training. Conclusions: On the 50th anniversary of its publication, Light's article illustrates the tenor of discussions about professionalization in the early years of our profession and invites comparison with current professionalization discussions.",,,,,,,,,,,12,0,0,,,,,,,,,,,NOV,2011,58,4,,,,,11,13,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Carnegie, TAM","Carnegie, Teena A. M.",,,Integrating context into assessing US technical communication programs,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,Reviews the primary purposes for program reviews Outlines the four standard models Proposes the creation of a contextual program review model.,,,,,,,,,,,20,2,2,,,,,,,,,,,NOV,2007,54,4,,,,,447,458,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Loorbach, N; Karreman, J; Steehouder, M","Loorbach, Nicole; Karreman, Joyce; Steehouder, Michael",,,Adding motivational elements to an instruction manual for seniors: Effects on usability and motivation,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,Tested versions of a manual intended to increase usability and motivation Found no statistically significant differences for user satisfaction or self-reported motivation Found that users of the experimental versions performed more tasks correctly.,,,,,,,,,,,27,19,19,,,,,,,,,,,AUG,2007,54,3,,,,,343,358,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Salvo, M; Zoetewey, MW; Agena, K","Salvo, Michael; Zoetewey, Meredith W.; Agena, Kate",,,A case of exhaustive documentation: Re-centering system-oriented organizations around user need,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Demonstrates a shift from establishing documentation procedures to critically, assessing and reforming existing procedures Concludes with an inventory for determining whether other organizations are overdocumenting processes and products.",,,,,,,,,,,24,3,3,,,,,,,,,,,FEB,2007,54,1,,,,,46,57,,,,,,,,,,,,,,,,,View Full Record in Web of Science
